id,value1,value2
1,52,40
2,15,36
3,57,27
4,67,94
5,91,21
6,8,84
7,52,30
8,23,49
9,72,7
10,46,57
11,25,38
12,27,45
13,70,93
14,75,2
15,70,4
16,62,66
17,20,96
18,97,93
19,26,5
20,86,66
21,1,42
22,31,38
23,96,72
24,36,87
25,35,31
26,27,35
27,94,39
28,61,47
29,86,25
30,22,99
31,61,4
32,42,71
33,83,59
34,36,87
35,96,50
36,73,58
37,30,30
38,14,3
39,43,80
40,68,62
41,98,31
42,45,57
43,21,20
44,79,40
45,15,67
46,64,21
47,95,95
48,75,36
49,10,51
50,25,10
51,13,13
52,73,21
53,67,22
54,62,33
55,65,71
56,61,83
57,57,47
58,100,85
59,63,86
60,29,29
61,46,98
62,28,22
63,43,90
64,79,45
65,56,2
66,92,40
67,77,54
68,71,14
69,52,72
70,85,13
71,66,97
72,54,78
73,70,46
74,55,15
75,65,83
76,70,81
77,49,59
78,8,25
79,7,95
80,86,31
81,1,81
82,60,92
83,51,100
84,23,41
85,13,61
86,3,81
87,11,89
88,93,48
89,20,41
90,34,18
91,23,1
92,71,29
93,26,68
94,28,48
95,26,22
96,31,78
97,17,3
98,36,14
99,5,12
100,4,93
101,38,23
102,19,35
103,81,24
104,58,68
105,69,58
106,54,83
107,38,93
108,84,52
109,82,71
110,80,50
111,92,7
112,68,13
113,70,45
114,32,92
115,54,80
116,45,22
117,45,70
118,13,50
119,44,5
120,42,20
121,32,53
122,18,47
123,82,63
124,4,33
125,87,25
126,95,29
127,61,98
128,83,56
129,50,85
130,55,18
131,6,12
132,89,95
133,13,96
134,13,59
135,21,19
136,54,49
137,76,64
138,68,94
139,64,59
140,17,59
141,32,24
142,99,13
143,28,99
144,26,60
145,11,1
146,70,26
147,67,52
148,88,97
149,59,40
150,65,11
151,82,41
152,50,42
153,5,31
154,88,70
155,9,87
156,30,38
157,56,2
158,81,93
159,28,65
160,74,43
161,40,12
162,88,74
163,13,7
164,26,86
165,3,31
166,29,80
167,93,34
168,17,32
169,35,43
170,62,74
171,86,90
172,7,99
173,18,57
174,92,96
175,45,58
176,9,70
177,15,94
178,13,70
179,95,56
180,60,51
181,97,78
182,82,13
183,2,36
184,93,85
185,46,90
186,40,96
187,80,60
188,95,84
189,5,12
190,37,76
191,50,84
192,51,27
193,38,27
194,86,60
195,24,74
196,47,76
197,53,62
198,57,95
199,52,94
200,48,56
201,90,71
202,83,85
203,70,9
204,88,17
205,80,9
206,15,89
207,95,55
208,21,11
209,68,27
210,88,83
211,28,15
212,84,8
213,2,93
214,41,71
215,69,37
216,26,52
217,78,16
218,90,15
219,17,100
220,29,16
221,32,22
222,85,81
223,88,78
224,81,98
225,13,10
226,5,3
227,93,61
228,2,100
229,30,89
230,9,22
231,35,56
232,65,49
233,49,33
234,7,27
235,13,48
236,39,83
237,66,68
238,96,76
239,54,84
240,72,13
241,9,19
242,11,10
243,47,67
244,74,50
245,33,33
246,53,89
247,8,57
248,76,8
249,85,57
250,56,93
251,89,80
252,41,32
253,91,29
254,87,51
255,22,87
256,17,67
257,65,32
258,66,30
259,18,30
260,3,77
261,85,57
262,24,40
263,51,74
264,25,17
265,75,93
266,1,26
267,39,57
268,14,74
269,38,13
270,23,42
271,97,55
272,33,65
273,13,82
274,7,52
275,52,40
276,15,39
277,74,82
278,53,24
279,55,92
280,20,5
281,7,13
282,91,46
283,82,15
284,54,59
285,39,23
286,84,49
287,11,68
288,67,15
289,13,4
290,61,20
291,31,16
292,55,66
293,40,83
294,68,78
295,6,50
296,67,34
297,27,67
298,16,28
299,43,92
300,36,31
301,10,51
302,18,84
303,17,28
304,64,77
305,97,68
306,67,78
307,87,8
308,19,44
309,66,52
310,98,85
311,7,26
312,62,35
313,16,43
314,41,95
315,43,1
316,20,33
317,2,96
318,72,85
319,95,17
320,8,5
321,51,54
322,25,40
323,33,24
324,25,12
325,88,97
326,77,40
327,14,67
328,36,87
329,26,2
330,9,51
331,84,91
332,18,60
333,41,97
334,59,73
335,17,46
336,72,84
337,23,45
338,77,23
339,40,9
340,73,80
341,81,79
342,67,72
343,32,16
344,56,64
345,66,5
346,78,86
347,15,48
348,56,22
349,100,42
350,39,85
351,1,28
352,87,23
353,51,1
354,63,100
355,56,87
