id,value1,value2
1,39,80,10
2,24,18,40
3,48,85,36
4,52,76,17
5,94,90,6
6,27,55,36
7,36,65,38
8,11,90,50
9,15,80,14
10,77,100,28
11,62,34,21
12,23,74,73
13,36,23,20
14,76,55,14
15,23,29,28
16,89,19,33
17,9,87,74
18,39,54,28
19,66,3,31
20,3,57,59
21,20,39,2
22,27,60,23
23,16,7,68
24,26,42,69
25,19,99,60
26,98,72,47
27,41,58,17
28,88,23,75
29,81,5,93
30,50,64,31
31,31,20,54
32,43,87,34
33,17,29,44
34,45,54,51
35,64,25,79
36,18,84,89
37,85,29,25
38,89,31,98
39,1,68,12
40,35,90,29
41,44,92,96
42,63,28,66
43,77,95,100
44,57,13,55
45,70,58,48
46,57,38,8
47,28,50,47
48,82,54,73
49,44,31,43
50,45,3,25
51,2,34,91
52,62,51,15
53,62,75,39
54,20,100,70
55,54,81,78
56,84,59,31
57,89,80,46
58,27,38,92
59,73,72,30
60,9,81,88
61,72,50,52
62,30,80,72
63,97,87,15
64,89,26,70
65,21,94,36
66,69,73,4
67,12,33,25
68,46,14,80
69,57,84,88
70,44,23,94
71,17,59,21
72,43,8,66
73,41,5,75
74,69,65,2
75,60,4,92
76,34,66,91
77,45,79,57
78,70,81,64
79,52,70,44
80,5,69,61
81,41,52,61
82,99,38,34
83,63,10,83
84,19,90,52
85,75,71,7
86,25,100,79
87,72,19,70
88,27,45,21
89,98,10,98
90,46,5,78
91,30,29,84
92,90,49,8
93,70,86,86
94,75,69,3
95,65,67,10
96,88,57,81
97,88,77,34
98,23,25,76
99,68,6,69
100,72,96,20
101,28,84,45
102,91,34,6
103,29,29,83
104,70,57,81
105,4,28,47
106,97,55,58
107,37,51,55
108,6,61,70
109,21,69,95
110,31,58,85
111,25,37,1
112,21,89,13
113,67,44,63
114,2,29,90
115,80,32,19
116,65,89,44
117,64,26,84
118,11,92,86
119,23,93,9
120,25,94,64
121,84,92,50
122,84,25,17
123,64,99,13
124,75,39,51
125,18,79,4
126,48,54,26
127,59,74,87
128,79,69,23
129,67,81,45
130,39,16,81
131,47,93,75
132,19,66,92
133,65,52,61
134,86,87,23
135,65,76,75
136,8,78,90
137,65,15,67
138,37,87,94
139,47,46,59
140,100,95,18
141,93,95,33
142,27,99,25
143,23,77,51
144,69,92,46
145,6,67,69
146,24,26,91
147,94,22,63
148,90,52,32
149,41,51,2
150,34,66,36
151,43,93,84
152,88,97,4
153,36,82,41
154,58,93,64
155,89,34,88
156,34,24,99
157,9,3,15
158,58,81,32
159,13,59,59
160,45,41,76
161,20,31,97
162,56,96,2
163,55,56,86
164,27,43,96
165,47,18,67
166,36,68,24
167,86,42,16
168,69,68,24
169,52,72,22
170,95,28,35
171,4,36,63
172,42,20,51
173,78,69,14
174,82,89,66
175,19,18,22
176,73,62,72
177,87,48,55
178,51,43,39
179,84,59,34
180,36,37,50
181,59,1,27
182,26,9,60
183,65,23,28
184,99,1,50
185,83,8,17
186,95,2,56
187,31,43,12
188,82,82,86
189,42,83,77
190,77,84,87
191,49,99,3
192,32,49,72
193,50,94,52
194,98,16,75
195,33,3,83
196,26,58,87
197,95,21,70
198,74,60,1
199,97,40,24
200,63,92,42
201,47,67,21
202,4,90,41
203,62,23,2
204,77,1,96
205,97,44,23
206,91,72,12
207,29,19,68
208,100,95,80
209,23,69,19
210,56,68,25
211,42,61,72
212,27,54,20
213,66,36,55
214,27,66,10
215,12,36,40
216,20,36,20
217,25,10,14
218,30,35,40
219,52,62,62
220,66,67,53
221,48,88,74
222,85,42,70
223,60,15,60
224,52,1,32
225,45,12,19
226,49,17,91
227,48,72,45
