Id,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
11,296215,296260,296011,296260,2.73478042,810100.8108,296221.51924
12,295999,296220,295900,296220,14.37918778,4256452.4317,296014.80256
13,296210,296452,296210,296452,9.14,2708988.2,296388.20569000003
14,296155,296732,296001,296001,6.343999999999999,1880224.634,296378.41015
15,296001,296429,296001,296429,3.55780298,1053835.3902,296203.97647
16,296410,296840,296410,296840,7.71766945,2289250.239,296624.55146
17,296457,296740,296290,296620,14.6816548,4354324.1934,296582.65725
18,296620,296851,296620,296620,8.16953567,2423610.3737,296664.39705
19,296814,296814,296620,296620,0.217,64368.48,296628.94009
20,296620,296859,296620,296630,3.1168866000000004,925114.47137,296807.22788
